time,volume,open,high,low,close
2020-04-24T04:00:00.000000000Z,765,1.07712,1.07742,1.07690,1.07716
2020-04-24T05:00:00.000000000Z,1290,1.07714,1.07715,1.07608,1.07632
2020-04-24T06:00:00.000000000Z,5140,1.07634,1.07664,1.07376,1.07383
2020-04-24T07:00:00.000000000Z,6172,1.07384,1.07516,1.07272,1.07406
2020-04-24T08:00:00.000000000Z,6256,1.07408,1.07592,1.07330,1.07560
2020-04-24T09:00:00.000000000Z,4875,1.07562,1.07682,1.07497,1.07655
2020-04-24T10:00:00.000000000Z,5254,1.07654,1.07984,1.07620,1.07853
2020-04-24T11:00:00.000000000Z,6080,1.07854,1.08057,1.07772,1.07932
2020-04-24T12:00:00.000000000Z,6244,1.07932,1.08102,1.07904,1.08032
2020-04-24T13:00:00.000000000Z,6461,1.08030,1.08080,1.07846,1.07968
2020-04-24T14:00:00.000000000Z,9711,1.07966,1.08198,1.07895,1.08138
2020-04-24T15:00:00.000000000Z,5447,1.08136,1.08141,1.07940,1.07971
2020-04-24T16:00:00.000000000Z,5139,1.07972,1.08024,1.07866,1.07883
2020-04-24T17:00:00.000000000Z,2497,1.07882,1.07952,1.07848,1.07942
2020-04-24T18:00:00.000000000Z,2475,1.07942,1.08010,1.07908,1.07978
2020-04-24T19:00:00.000000000Z,2792,1.07977,1.08132,1.07968,1.08112
2020-04-24T20:00:00.000000000Z,2015,1.08110,1.08298,1.08081,1.08232
2020-04-26T21:00:00.000000000Z,79,1.08228,1.08251,1.08204,1.08226
2020-04-26T22:00:00.000000000Z,503,1.08222,1.08227,1.08146,1.08172
2020-04-26T23:00:00.000000000Z,628,1.08170,1.08213,1.08156,1.08208
2020-04-27T00:00:00.000000000Z,1407,1.08209,1.08212,1.08114,1.08182
2020-04-27T01:00:00.000000000Z,2278,1.08183,1.08322,1.08174,1.08255
2020-04-27T02:00:00.000000000Z,1187,1.08256,1.08286,1.08206,1.08228
2020-04-27T03:00:00.000000000Z,1219,1.08229,1.08332,1.08198,1.08320
2020-04-27T04:00:00.000000000Z,1545,1.08319,1.08434,1.08302,1.08385
2020-04-27T05:00:00.000000000Z,1889,1.08384,1.08539,1.08384,1.08468
2020-04-27T06:00:00.000000000Z,4651,1.08470,1.08592,1.08460,1.08462
2020-04-27T07:00:00.000000000Z,5299,1.08462,1.08482,1.08330,1.08419
2020-04-27T08:00:00.000000000Z,5006,1.08420,1.08504,1.08358,1.08498
2020-04-27T09:00:00.000000000Z,4742,1.08496,1.08521,1.08395,1.08466
2020-04-27T10:00:00.000000000Z,4500,1.08468,1.08604,1.08462,1.08520
2020-04-27T11:00:00.000000000Z,4982,1.08521,1.08553,1.08340,1.08550
2020-04-27T12:00:00.000000000Z,5588,1.08548,1.08586,1.08438,1.08512
2020-04-27T13:00:00.000000000Z,5966,1.08512,1.08575,1.08439,1.08473
2020-04-27T14:00:00.000000000Z,6583,1.08472,1.08474,1.08276,1.08406
2020-04-27T15:00:00.000000000Z,4099,1.08404,1.08430,1.08280,1.08286
2020-04-27T16:00:00.000000000Z,3575,1.08288,1.08290,1.08165,1.08214
2020-04-27T17:00:00.000000000Z,2573,1.08213,1.08314,1.08207,1.08294
2020-04-27T18:00:00.000000000Z,2056,1.08292,1.08334,1.08266,1.08322
2020-04-27T19:00:00.000000000Z,1794,1.08324,1.08344,1.08277,1.08292
2020-04-27T20:00:00.000000000Z,915,1.08291,1.08306,1.08246,1.08288
2020-04-27T21:00:00.000000000Z,403,1.08288,1.08318,1.08238,1.08305
2020-04-27T22:00:00.000000000Z,526,1.08301,1.08302,1.08245,1.08288
2020-04-27T23:00:00.000000000Z,450,1.08290,1.08302,1.08236,1.08246
2020-04-28T00:00:00.000000000Z,1148,1.08244,1.08362,1.08228,1.08330
2020-04-28T01:00:00.000000000Z,1234,1.08328,1.08345,1.08236,1.08250
2020-04-28T02:00:00.000000000Z,843,1.08248,1.08282,1.08239,1.08276
2020-04-28T03:00:00.000000000Z,668,1.08275,1.08276,1.08237,1.08244
2020-04-28T04:00:00.000000000Z,908,1.08243,1.08243,1.08170,1.08219
2020-04-28T05:00:00.000000000Z,1309,1.08218,1.08275,1.08190,1.08252
2020-04-28T06:00:00.000000000Z,3442,1.08254,1.08256,1.08096,1.08127
2020-04-28T07:00:00.000000000Z,6522,1.08128,1.08409,1.08101,1.08392
2020-04-28T08:00:00.000000000Z,5813,1.08394,1.08584,1.08371,1.08502
2020-04-28T09:00:00.000000000Z,6565,1.08500,1.08856,1.08440,1.08760
2020-04-28T10:00:00.000000000Z,5034,1.08758,1.08844,1.08688,1.08824
2020-04-28T11:00:00.000000000Z,4322,1.08826,1.08886,1.08786,1.08863
2020-04-28T12:00:00.000000000Z,5513,1.08864,1.08882,1.08698,1.08703
2020-04-28T13:00:00.000000000Z,6674,1.08702,1.08748,1.08398,1.08438
2020-04-28T14:00:00.000000000Z,6886,1.08440,1.08580,1.08302,1.08324
2020-04-28T15:00:00.000000000Z,6080,1.08326,1.08465,1.08250,1.08364
2020-04-28T16:00:00.000000000Z,4150,1.08362,1.08386,1.08252,1.08318
2020-04-28T17:00:00.000000000Z,3095,1.08319,1.08372,1.08270,1.08358
2020-04-28T18:00:00.000000000Z,2453,1.08356,1.08401,1.08331,1.08356
2020-04-28T19:00:00.000000000Z,2226,1.08354,1.08384,1.08306,1.08328
2020-04-28T20:00:00.000000000Z,1468,1.08329,1.08342,1.08178,1.08201
2020-04-28T21:00:00.000000000Z,124,1.08208,1.08226,1.08189,1.08212
2020-04-28T22:00:00.000000000Z,429,1.08216,1.08268,1.08204,1.08254
2020-04-28T23:00:00.000000000Z,544,1.08253,1.08331,1.08242,1.08326
2020-04-29T00:00:00.000000000Z,1142,1.08324,1.08422,1.08310,1.08416
2020-04-29T01:00:00.000000000Z,1557,1.08414,1.08546,1.08394,1.08463
2020-04-29T02:00:00.000000000Z,1344,1.08464,1.08535,1.08446,1.08511
2020-04-29T03:00:00.000000000Z,1110,1.08512,1.08512,1.08412,1.08468
2020-04-29T04:00:00.000000000Z,838,1.08469,1.08504,1.08438,1.08500
2020-04-29T05:00:00.000000000Z,1197,1.08502,1.08568,1.08484,1.08556
2020-04-29T06:00:00.000000000Z,3975,1.08557,1.08559,1.08395,1.08513
2020-04-29T07:00:00.000000000Z,6957,1.08514,1.08718,1.08454,1.08703
2020-04-29T08:00:00.000000000Z,5197,1.08702,1.08742,1.08630,1.08662
2020-04-29T09:00:00.000000000Z,4244,1.08663,1.08728,1.08548,1.08558
2020-04-29T10:00:00.000000000Z,3513,1.08558,1.08595,1.08466,1.08508
2020-04-29T11:00:00.000000000Z,4037,1.08507,1.08545,1.08412,1.08424
2020-04-29T12:00:00.000000000Z,6489,1.08426,1.08574,1.08396,1.08572
2020-04-29T13:00:00.000000000Z,6869,1.08574,1.08682,1.08550,1.08641
2020-04-29T14:00:00.000000000Z,6641,1.08642,1.08666,1.08428,1.08518
2020-04-29T15:00:00.000000000Z,4597,1.08520,1.08582,1.08452,1.08526
2020-04-29T16:00:00.000000000Z,3628,1.08527,1.08570,1.08474,1.08478
2020-04-29T17:00:00.000000000Z,3425,1.08476,1.08678,1.08469,1.08644
2020-04-29T18:00:00.000000000Z,8803,1.08640,1.08858,1.08632,1.08720
2020-04-29T19:00:00.000000000Z,4814,1.08718,1.08830,1.08667,1.08754
2020-04-29T20:00:00.000000000Z,1600,1.08752,1.08796,1.08699,1.08758
2020-04-29T21:00:00.000000000Z,65,1.08758,1.08774,1.08740,1.08740
2020-04-29T22:00:00.000000000Z,183,1.08742,1.08769,1.08740,1.08752
2020-04-29T23:00:00.000000000Z,423,1.08754,1.08786,1.08735,1.08774
2020-04-30T00:00:00.000000000Z,1878,1.08772,1.08772,1.08516,1.08592
2020-04-30T01:00:00.000000000Z,1157,1.08590,1.08678,1.08560,1.08676
2020-04-30T02:00:00.000000000Z,1198,1.08675,1.08716,1.08620,1.08622
2020-04-30T03:00:00.000000000Z,996,1.08621,1.08645,1.08595,1.08631
2020-04-30T04:00:00.000000000Z,1246,1.08630,1.08630,1.08546,1.08598
2020-04-30T05:00:00.000000000Z,1062,1.08600,1.08686,1.08576,1.08644
2020-04-30T06:00:00.000000000Z,5035,1.08642,1.08835,1.08536,1.08814
2020-04-30T07:00:00.000000000Z,7565,1.08812,1.08914,1.08682,1.08838
2020-04-30T08:00:00.000000000Z,6164,1.08840,1.08888,1.08702,1.08859
2020-04-30T09:00:00.000000000Z,5617,1.08857,1.08884,1.08592,1.08618
2020-04-30T10:00:00.000000000Z,4872,1.08620,1.08820,1.08618,1.08756
2020-04-30T11:00:00.000000000Z,6540,1.08758,1.08860,1.08642,1.08679
2020-04-30T12:00:00.000000000Z,9331,1.08678,1.08812,1.08622,1.08761
2020-04-30T13:00:00.000000000Z,11948,1.08762,1.08767,1.08330,1.08590
2020-04-30T14:00:00.000000000Z,14384,1.08592,1.09616,1.08490,1.09536
2020-04-30T15:00:00.000000000Z,14199,1.09538,1.09725,1.09290,1.09334
2020-04-30T16:00:00.000000000Z,8281,1.09335,1.09386,1.09207,1.09373
2020-04-30T17:00:00.000000000Z,5709,1.09372,1.09522,1.09360,1.09474
2020-04-30T18:00:00.000000000Z,4412,1.09472,1.09575,1.09432,1.09521
2020-04-30T19:00:00.000000000Z,3855,1.09520,1.09637,1.09514,1.09563
2020-04-30T20:00:00.000000000Z,1844,1.09564,1.09590,1.09515,1.09520
2020-04-30T21:00:00.000000000Z,81,1.09548,1.09554,1.09494,1.09512
2020-04-30T22:00:00.000000000Z,832,1.09509,1.09522,1.09422,1.09432
2020-04-30T23:00:00.000000000Z,733,1.09433,1.09476,1.09411,1.09450
2020-05-01T00:00:00.000000000Z,2235,1.09448,1.09556,1.09346,1.09459
2020-05-01T01:00:00.000000000Z,1730,1.09461,1.09468,1.09368,1.09422
2020-05-01T02:00:00.000000000Z,1165,1.09420,1.09464,1.09382,1.09448
2020-05-01T03:00:00.000000000Z,915,1.09446,1.09463,1.09408,1.09452
2020-05-01T04:00:00.000000000Z,701,1.09450,1.09498,1.09444,1.09494
2020-05-01T05:00:00.000000000Z,1382,1.09492,1.09555,1.09442,1.09522
2020-05-01T06:00:00.000000000Z,3120,1.09521,1.09646,1.09521,1.09602
2020-05-01T07:00:00.000000000Z,4695,1.09600,1.09698,1.09490,1.09647
2020-05-01T08:00:00.000000000Z,4989,1.09646,1.09795,1.09588,1.09762
2020-05-01T09:00:00.000000000Z,3887,1.09764,1.09874,1.09740,1.09818
2020-05-01T10:00:00.000000000Z,3190,1.09820,1.09901,1.09762,1.09816
2020-05-01T11:00:00.000000000Z,3338,1.09814,1.09838,1.09710,1.09732
2020-05-01T12:00:00.000000000Z,4680,1.09732,1.09866,1.09716,1.09807
2020-05-01T13:00:00.000000000Z,4703,1.09808,1.09849,1.09738,1.09754
2020-05-01T14:00:00.000000000Z,9511,1.09758,1.10192,1.09721,1.10077
2020-05-01T15:00:00.000000000Z,6033,1.10078,1.10164,1.09950,1.09978
2020-05-01T16:00:00.000000000Z,4266,1.09979,1.09998,1.09850,1.09874
2020-05-01T17:00:00.000000000Z,2898,1.09876,1.09889,1.09786,1.09818
2020-05-01T18:00:00.000000000Z,2385,1.09819,1.09820,1.09758,1.09767
2020-05-01T19:00:00.000000000Z,2646,1.09765,1.09817,1.09748,1.09794
2020-05-01T20:00:00.000000000Z,960,1.09792,1.09832,1.09732,1.09794
2020-05-03T21:00:00.000000000Z,180,1.09715,1.09749,1.09683,1.09696
2020-05-03T22:00:00.000000000Z,1387,1.09700,1.09746,1.09532,1.09565
2020-05-03T23:00:00.000000000Z,1163,1.09567,1.09628,1.09539,1.09610
2020-05-04T00:00:00.000000000Z,1707,1.09608,1.09608,1.09464,1.09472
2020-05-04T01:00:00.000000000Z,1432,1.09474,1.09554,1.09470,1.09502
2020-05-04T02:00:00.000000000Z,1235,1.09501,1.09522,1.09436,1.09444
2020-05-04T03:00:00.000000000Z,987,1.09446,1.09472,1.09408,1.09426
2020-05-04T04:00:00.000000000Z,1009,1.09424,1.09428,1.09351,1.09364
2020-05-04T05:00:00.000000000Z,1304,1.09363,1.09404,1.09272,1.09287
2020-05-04T06:00:00.000000000Z,4362,1.09287,1.09474,1.09251,1.09414
2020-05-04T07:00:00.000000000Z,7195,1.09412,1.09457,1.09258,1.09366
2020-05-04T08:00:00.000000000Z,5633,1.09367,1.09491,1.09236,1.09449
2020-05-04T09:00:00.000000000Z,4824,1.09450,1.09454,1.09270,1.09392
2020-05-04T10:00:00.000000000Z,4355,1.09394,1.09449,1.09308,1.09316
2020-05-04T11:00:00.000000000Z,4352,1.09316,1.09415,1.09252,1.09394
2020-05-04T12:00:00.000000000Z,4935,1.09396,1.09437,1.09308,1.09348
2020-05-04T13:00:00.000000000Z,5550,1.09347,1.09380,1.09218,1.09268
2020-05-04T14:00:00.000000000Z,8240,1.09266,1.09356,1.09038,1.09163
2020-05-04T15:00:00.000000000Z,5231,1.09162,1.09178,1.09004,1.09105
2020-05-04T16:00:00.000000000Z,4428,1.09106,1.09112,1.08958,1.09004
2020-05-04T17:00:00.000000000Z,3155,1.09004,1.09065,1.08969,1.09021
2020-05-04T18:00:00.000000000Z,2679,1.09022,1.09091,1.08998,1.09070
2020-05-04T19:00:00.000000000Z,2740,1.09068,1.09097,1.08958,1.08976
2020-05-04T20:00:00.000000000Z,1327,1.08978,1.09065,1.08961,1.09054
2020-05-04T21:00:00.000000000Z,39,1.09089,1.09089,1.09021,1.09021
2020-05-04T22:00:00.000000000Z,395,1.09016,1.09049,1.09006,1.09041
2020-05-04T23:00:00.000000000Z,262,1.09042,1.09062,1.09022,1.09033
2020-05-05T00:00:00.000000000Z,611,1.09034,1.09133,1.09033,1.09106
2020-05-05T01:00:00.000000000Z,622,1.09108,1.09159,1.09086,1.09091
2020-05-05T02:00:00.000000000Z,535,1.09092,1.09152,1.09074,1.09076
2020-05-05T03:00:00.000000000Z,452,1.09078,1.09095,1.09018,1.09039
2020-05-05T04:00:00.000000000Z,394,1.09040,1.09078,1.08997,1.09069
2020-05-05T05:00:00.000000000Z,682,1.09071,1.09106,1.09054,1.09078
2020-05-05T06:00:00.000000000Z,2677,1.09078,1.09150,1.09010,1.09032
2020-05-05T07:00:00.000000000Z,4947,1.09030,1.09044,1.08851,1.08988
